year,month,start_city,rides,date
2020,5,Berkeley,3750,2020-05-01
2020,5,Oakland,6349,2020-05-01
2020,6,Berkeley,3933,2020-06-01
2020,6,Oakland,6970,2020-06-01
2020,7,Berkeley,3870,2020-07-01
2020,7,Oakland,5713,2020-07-01
2020,8,Berkeley,3981,2020-08-01
2020,8,Oakland,4605,2020-08-01
2020,9,Berkeley,3310,2020-09-01
2020,9,Oakland,4167,2020-09-01
2020,10,Berkeley,4061,2020-10-01
2020,10,Oakland,5012,2020-10-01
2020,11,Berkeley,3165,2020-11-01
2020,11,Oakland,4861,2020-11-01
2020,12,Berkeley,2281,2020-12-01
2020,12,Oakland,3709,2020-12-01
2021,1,Berkeley,2286,2021-01-01
2021,1,Oakland,3176,2021-01-01
2021,2,Berkeley,2400,2021-02-01
2021,2,Oakland,3273,2021-02-01
2021,3,Berkeley,3241,2021-03-01
2021,3,Oakland,3757,2021-03-01
2021,4,Berkeley,3933,2021-04-01
2021,4,Oakland,4431,2021-04-01
2021,5,Berkeley,4297,2021-05-01
2021,5,Oakland,5251,2021-05-01
2021,6,Berkeley,4345,2021-06-01
2021,6,Oakland,6347,2021-06-01
2021,7,Berkeley,4428,2021-07-01
2021,7,Oakland,7140,2021-07-01
2021,8,Berkeley,5695,2021-08-01
2021,8,Oakland,7291,2021-08-01
2021,9,Berkeley,6244,2021-09-01
2021,9,Oakland,7632,2021-09-01
2021,10,Berkeley,5594,2021-10-01
2021,10,Oakland,7321,2021-10-01
2021,11,Berkeley,4916,2021-11-01
2021,11,Oakland,6008,2021-11-01
2021,12,Berkeley,3375,2021-12-01
2021,12,Oakland,4543,2021-12-01
2022,1,Berkeley,3466,2022-01-01
2022,1,Oakland,5137,2022-01-01
2022,2,Berkeley,4946,2022-02-01
2022,2,Oakland,5801,2022-02-01
2022,3,Berkeley,5011,2022-03-01
2022,3,Oakland,7094,2022-03-01
2022,4,Berkeley,5698,2022-04-01
2022,4,Oakland,7449,2022-04-01
2022,5,Berkeley,5273,2022-05-01
2022,5,Oakland,8363,2022-05-01
2022,6,Berkeley,5211,2022-06-01
2022,6,Oakland,8681,2022-06-01
2022,7,Berkeley,5156,2022-07-01
2022,7,Oakland,8794,2022-07-01
2022,8,Berkeley,5270,2022-08-01
2022,8,Oakland,9079,2022-08-01
2022,9,Berkeley,6031,2022-09-01
2022,9,Oakland,8902,2022-09-01
2022,10,Berkeley,5804,2022-10-01
2022,10,Oakland,8970,2022-10-01
2022,11,Berkeley,4546,2022-11-01
2022,11,Oakland,6307,2022-11-01
2022,12,Berkeley,2569,2022-12-01
2022,12,Oakland,4446,2022-12-01
2023,1,Berkeley,3150,2023-01-01
2023,1,Oakland,4958,2023-01-01
2023,2,Berkeley,3598,2023-02-01
2023,2,Oakland,4749,2023-02-01
2023,3,Berkeley,3709,2023-03-01
2023,3,Oakland,5260,2023-03-01
2023,4,Berkeley,4862,2023-04-01
2023,4,Oakland,6882,2023-04-01
2023,5,Berkeley,4141,2023-05-01
2023,5,Oakland,7345,2023-05-01
2023,6,Berkeley,3743,2023-06-01
2023,6,Oakland,7759,2023-06-01
2023,7,Berkeley,4137,2023-07-01
2023,7,Oakland,7915,2023-07-01
2023,8,Berkeley,4936,2023-08-01
2023,8,Oakland,8295,2023-08-01
2023,9,Berkeley,5208,2023-09-01
2023,9,Oakland,8263,2023-09-01
2023,10,Berkeley,5503,2023-10-01
2023,10,Oakland,8674,2023-10-01
2023,11,Berkeley,4287,2023-11-01
2023,11,Oakland,6926,2023-11-01
2023,12,Berkeley,2537,2023-12-01
2023,12,Oakland,5501,2023-12-01
2024,1,Berkeley,3042,2024-01-01
2024,1,Oakland,5592,2024-01-01
2024,2,Berkeley,3415,2024-02-01
2024,2,Oakland,6035,2024-02-01
2024,3,Berkeley,3916,2024-03-01
2024,3,Oakland,7522,2024-03-01
2024,4,Berkeley,5285,2024-04-01
2024,4,Oakland,8925,2024-04-01
2024,5,Berkeley,6291,2024-05-01
2024,5,Oakland,11486,2024-05-01
2024,6,Berkeley,6215,2024-06-01
2024,6,Oakland,11874,2024-06-01
2024,7,Berkeley,7306,2024-07-01
2024,7,Oakland,12509,2024-07-01
2024,8,Berkeley,8357,2024-08-01
2024,8,Oakland,13645,2024-08-01
2024,9,Berkeley,10571,2024-09-01
2024,9,Oakland,13101,2024-09-01
2024,10,Berkeley,12636,2024-10-01
2024,10,Oakland,14764,2024-10-01
2024,11,Berkeley,8978,2024-11-01
2024,11,Oakland,10768,2024-11-01
2024,12,Berkeley,7155,2024-12-01
