id,start_count,end_count,combined_count,name,lat,long
BK-A3,1613,1517,3130,College Ave at Alcatraz Ave,37.8513755,-122.2525233
BK-A7,3905,3879,7784,Vine St at Shattuck Ave,37.88022244590679,-122.26959228515624
BK-B7,2222,2314,4536,Virginia St at Shattuck Ave,37.87657254910685,-122.26952791213988
BK-C1,1612,1911,3523,Fifth St at Delaware St,37.870407115465376,-122.29967594146729
BK-C5,2970,2795,5765,North Berkeley BART,37.8738556998122,-122.28298832384976
BK-C6,4145,4213,8358,MLK Jr Way at University Ave,37.8717192,-122.2730677
BK-C7,2891,2894,5785,Shattuck Ave at Hearst Ave,37.87367621459825,-122.26848721504211
BK-C8,3353,3201,6554,University Ave at Oxford St,37.8723555,-122.2664467
BK-C9,7465,6836,14301,Euclid Ave at Hearst Ave,37.8753207,-122.2601554
BK-D1,2886,3277,6163,Addison St at Fourth St,37.866249,-122.2993708
BK-D10,10464,9667,20131,Bancroft Way at College Ave,37.869394312305865,-122.25433029666108
BK-D2,1297,1550,2847,Ninth St at University Ave,37.86845679978117,-122.29431033809128
BK-D4,1634,2010,3644,West St at University Ave,37.86996670760404,-122.28653311729433
BK-D5,1798,1929,3727,Addison St at California St,37.86972662872833,-122.27938914547282
BK-D7-1,10322,10257,20579,Downtown Berkeley BART,37.870139,-122.268422
BK-D7-2,3852,3908,7760,Berkeley Civic Center,37.8690599,-122.270556
BK-E10,2579,2239,4818,Haste St at College Ave,37.86641794050319,-122.25379943847656
BK-E3,1387,1569,2956,Channing Way at San Pablo Ave,37.86281710670802,-122.2902952903697
BK-E7,3474,3473,6947,Channing Way at Shattuck Ave,37.8658466,-122.2674431
BK-E8,3849,3788,7637,Fulton St at Bancroft Way,37.868135281599706,-122.26593686946156
BK-E9-1,10981,10390,21371,Bancroft Way at Telegraph Ave,37.8689109,-122.2587857
BK-E9-2,3957,3419,7376,Haste St at Telegraph Ave,37.8660431,-122.2588044
BK-F10,4096,3689,7785,Derby St at College Ave,37.86175955253551,-122.25367726566596
BK-F2,1332,1568,2900,Ninth St at Parker St,37.8588682,-122.2912095
BK-F7,2916,2873,5789,Milvia St at Derby St,37.86012459911685,-122.2693844139576
BK-F8,5213,4799,10012,Parker St at Fulton St,37.8624644,-122.2647911
BK-F9,3521,3172,6693,Telegraph Ave at Carleton St,37.8623199,-122.258801
BK-G10,1870,1668,3538,Russell St at College Ave,37.8584732,-122.2532529
BK-G4,986,1247,2233,San Pablo Park,37.85578332030199,-122.28312671184538
BK-G7,4117,4022,8139,Oregon St at Adeline St,37.8575672,-122.2675583
BK-G8,1816,1792,3608,Ellsworth St at Russell St,37.85760774739988,-122.26160466670989
BK-H10,2117,2052,4169,Russell St at College Ave,37.8584732,-122.2532529
BK-H3,2508,2735,5243,Ninth St at Heinz Ave,37.85299776297823,-122.28944645338662
BK-H6,5244,5290,10534,Ashby BART,37.8524766,-122.2702132
BK-H8,1631,1560,3191,Fulton St at Ashby Ave,37.85557366182879,-122.2635653614998
BK-H9,3473,3423,6896,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
BK-I10,1344,1169,2513,College Ave at Alcatraz Ave,37.8513755,-122.2525233
BK-I5,1884,2021,3905,Woolsey St at Sacramento St,37.8505777,-122.2781754
BK-I6,1857,1905,3762,Harmon St at Adeline St,37.849735,-122.270582
EM-1,1,0,1,Emeryville Depot,37.830296182687,-122.2894299030304
EM-A1,927,918,1845,59th St at Horton St,37.8409452,-122.2913604
EM-A2,781,957,1738,Doyle St at 59th St,37.8419238,-122.2880451
EM-AA2,60,71,131,Vallejo St at 66th St,37.84835596348644,-122.2886089419628
EM-B0,18,18,36,Powell St at Admiral Dr,37.83706930389106,-122.3065663019702
EM-B0-2,445,460,905,2100 Powell St,37.83954308266563,-122.2987177222967
EM-B1,773,915,1688,Emeryville Public Market,37.84052116694969,-122.29352831840517
EM-B2,587,630,1217,Stanford Ave at Hollis St,37.8384435,-122.2886647
EM-C1,1676,1808,3484,65th St at Hollis St,37.8467842,-122.2913761
EM-C1-2,1309,1509,2818,Bay Street Plaza,37.834574108061645,-122.29206176011056
EM-C2,358,379,737,53rd St at Hollis St,37.8361823,-122.2871801
EM-C3,1083,1217,2300,47th St at San Pablo Ave,37.8356703,-122.2811258
EM-D2,1185,1262,2447,Horton St at 40th St,37.8297046,-122.2876102
EM-D2-2,62,64,126,Huchiun Park,37.83159410797172,-122.2903389768136
EM-D3,751,860,1611,Emeryville Town Hall,37.8312752,-122.2856333
EM-D4,1322,1428,2750,Adeline St at 40th St,37.8312769,-122.2782669
OK-A2,1404,1353,2757,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596
OK-A4,1784,1634,3418,62nd St at Claremont Ave,37.8494355,-122.2525406
OK-AA3,467,529,996,65th St at San Pablo Ave,37.84814590831065,-122.2851545595561
OK-B1,1538,1418,2956,Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393
OK-B2,1395,1270,2665,Bushrod Park,37.8465156,-122.2653043
OK-B3,1230,1137,2367,Telegraph Ave at 58th St,37.8444927,-122.261351
OK-B4,6452,6405,12857,Rockridge BART,37.84427875399067,-122.251900434494
OK-B5,1236,988,2224,College Ave at Taft Ave,37.8417999,-122.2515349
OK-C2,1595,1513,3108,Dover St at 57th St,37.8426295,-122.267738
OK-C3,1177,1115,2292,55th St at Telegraph Ave,37.8401858,-122.2618225
OK-C4,1718,1699,3417,Miles Ave at Cavour St,37.8388,-122.258732
OK-C5,965,907,1872,College Ave at Bryant Ave,37.8381269,-122.2512714
OK-D0,366,397,763,Lowell St at Stanford Ave,37.84325268467536,-122.2769811964533
OK-D2,1608,1606,3214,Genoa St at 55th St,37.8396488,-122.2717561
OK-D3-1,787,768,1555,Shattuck Ave at 55th St,37.8403643,-122.2644881
OK-D3-2,618,579,1197,52nd St at MLK Jr Way,37.837369,-122.267656
OK-D4,3982,4006,7988,Telegraph Ave at 49th St,37.83575,-122.262654
OK-D5,1737,1476,3213,Broadway at Coronado Ave,37.8357883,-122.2516207
OK-E3,531,535,1066,45th St at MLK Jr Way,37.8335577,-122.2674183
OK-E4,2511,2540,5051,Shattuck Ave at Telegraph Ave,37.83353887161604,-122.263693665756
OK-E5,1413,1407,2820,45th St at Manila,37.8332935222321,-122.25622415542604
OK-F2-2,1098,1055,2153,Market St at 45th St,37.834174,-122.272968
OK-F3,1125,1037,2162,West St at 40th St,37.8302232,-122.2709501
